"","state_code","state_name","density","hispanic","afam","education","vap","county_fips","county_name","vote_16","vote_12","clinton_votes","obama_votes","trump_votes","romney_votes","midwest","twoway16","twoway12"
"1701","NE","Nebraska",2829.8200944809,0.0172560590120515,0.00645421296577675,46631.3713414907,17186.0008913279,67,"Gage",10048,9661,2935,3903,6380,5513,FALSE,0.31508319914117,0.414507221750212
"1702","NC","North Carolina",1117.83013313569,0.0215430782974431,0.138577206777726,56551.2917835671,7422.99981591105,29,"Camden",5006,4704,1274,1508,3546,3109,FALSE,0.264315352697095,0.326619016677496
"1703","NC","North Carolina",5640.68254136351,0.134823449067886,0.385994092431437,54207.2873714612,207266.006033331,63,"Durham",156134,146735,121250,111224,28350,33769,FALSE,0.810494652406417,0.767099101335927
"1704","MD","Maryland",13300.2425090588,0.170201591378447,0.17752426370189,108324.584720569,738247.014107987,31,"Montgomery",478873,455992,357837,323400,92704,123353,FALSE,0.794238482180312,0.72388993470665
"1705","AR","Arkansas",2436.65924323968,0.0269730233829374,0.25053894074765,39921.5450339135,14594.000957489,1,"Arkansas",6212,6494,1939,2455,3826,3897,FALSE,0.336339982653946,0.386492443324937
"1706","AR","Arkansas",1662.30815550962,0.306014756892658,0.0459608438193601,33187.2830929769,12018.0003021508,133,"Sevier",4562,4330,1075,1042,3282,3136,FALSE,0.246729400963966,0.249401627573001
"1707","AR","Arkansas",1378.87187871783,0.0245286024856151,0.284132030223396,32466.7580096169,14148.0004791468,43,"Drew",6595,6633,2365,2630,3968,3887,FALSE,0.373440707405653,0.403559920208685
"1708","AL","Alabama",986.505947764168,0.00624863369211589,0.749691192548193,24145.7915425416,10695.0006163716,119,"Sumter",6411,7030,4746,5421,1581,1586,FALSE,0.750118539592224,0.773654916512059
"1709","AL","Alabama",461.678074090686,0.00769979335096995,0.735728805445063,29336.1156739534,8567.00035582483,85,"Lowndes",6684,7523,4883,5747,1751,1756,FALSE,0.736056677720832,0.765960282553645
"1710","WY","Wyoming",4286.65416871639,0.167957185645584,0.00950582044109407,57840.100535096,12134.0003394485,7,"Carbon",6374,6509,1279,2110,4409,4148,FALSE,0.22485935302391,0.337168424416747
"1711","WY","Wyoming",5860.36225721985,0.0693306804467375,0.0140755452121398,59400.7353744201,57430.0013152957,25,"Natrona",33348,32373,6577,8961,23552,22132,FALSE,0.218294666268379,0.288199916379893
"1712","IA","Iowa",1363.24758188774,0.00856245629685769,0.00656455092826042,43883.5051850442,8069.00055581331,107,"Keokuk",4985,5266,1342,2303,3390,2843,FALSE,0.283601014370245,0.447532063738826
"1713","IA","Iowa",2150.44030502983,0.0742950347042673,0.00692294808928656,47856.1633928069,13227.0008028746,171,"Tama",8752,9017,3196,4768,4971,4098,FALSE,0.391330966083017,0.537784795849312
"1714","SD","South Dakota",1280.73278240909,0.0142471106881717,0.00294767976657299,50321.9265536723,3094.00030013919,45,"Edmunds",1918,1936,380,622,1433,1264,FALSE,0.209597352454495,0.329798515376458
"1715","NM","New Mexico",2069.92879632915,0.279612948564103,0.00517183627203308,31906.8019686353,10060.0002964437,51,"Sierra",5181,5102,1612,1964,3010,2928,FALSE,0.348766767633059,0.401471790678659
"1716","SD","South Dakota",2918.76777682716,0.0405601101047402,0.000965717044905843,45587,1636.0000025332,73,"Jerauld",967,1006,264,452,648,538,FALSE,0.289473684210526,0.456565656565657
"1717","MO","Missouri",1330.56070199214,0.0199574694602584,0.00433502121639276,36189.0423687224,9295.0005396381,123,"Madison",5321,4930,1005,1588,4102,3227,FALSE,0.196788721362835,0.329802699896158
"1718","MO","Missouri",1425.20520593437,0.0197514188766487,0.0106625569418321,38976.6211902239,23471.0005657226,167,"Polk",13763,13119,2631,3580,10438,9252,FALSE,0.20131609151427,0.278990024937656
"1719","MO","Missouri",1490.43040935332,0.0196324613338454,0.0255868797546621,53464.2974356048,37840.0013817996,113,"Lincoln",25114,22652,5575,7734,18159,14332,FALSE,0.234895087216651,0.350493972627572
"1720","MO","Missouri",6216.56885111017,0.0169872789150087,0.114256914464442,43890.5885820664,10581.9999312162,63,"DeKalb",4626,4350,824,1194,3540,3056,FALSE,0.188817598533456,0.280941176470588
"1721","MO","Missouri",3311.76832236358,0.0721783773562311,0.0392644740369672,40703.0334826189,31417.0016404465,159,"Pettis",18204,17175,4324,5904,12810,10842,FALSE,0.252363721255982,0.352561805804371
